Date,OpenRSI,OpenSMA3,Diff_OpenSMA3,OpenEMA5,Diff_OpenEMA5,Movement_OpenEMA5,Diff_Close,Movement_Close,CloseRSI,Diff_CloseRSI,Movement_closeRSI,CloseEMA5,Diff_CloseEMA5,Movement_Diff_CloseEMA5,CloseSMA3,Diff_CloseSMA3,Movement_closeSMA3,DJI_Volume,DJI_Diff_OpenSMA3,Gold_OpenRSI,Gold_Diff_Open,Gold_Movement_Open,Gold_CloseRSI,usdeur_Open,usdeur_Adj_Close,usdeur_Diff_OpenSMA3,oil_Volume,oil_Diff_OpenSMA3,usdcny_Open,usdcny_High,usdcny_Close,Close
2020-10-06,0.0,100.01333363850911,0.00333404541015625,100.01000044080948,8.477105097881577e-07,1.0,0.03499603271484375,1.0,100.0,100.0,1.0,100.00888909233942,0.010554843478729481,1.0,100.00833384195964,0.009999593098967807,1.0,435030000,91.203125,100.0,7.699951171875,1.0,0.0,0.8482999801635742,0.8479999899864197,-0.0015566746393840258,400531,1.4499969482421875,6.78980016708374,6.789999961853027,6.78980016708374,100.02999877929688
2020-10-07,0.0,99.99666595458984,-0.016667683919266096,99.9899992766204,-0.020001164189082488,-1.0,-0.1100006103515625,-1.0,0.0,-100.0,-1.0,99.9792587845414,-0.029630307798015565,-1.0,99.9816665649414,-0.026667277018233904,-1.0,328750000,144.98958333333212,0.0,-32.5,-1.0,0.0,0.8519799709320068,0.8519600033760071,0.0001633167266845703,433065,-0.7199974060058594,6.78980016708374,6.789999961853027,6.78980016708374,99.91999816894531
2020-10-08,100.0,99.98333231608073,-0.013333638509109846,99.98999880567011,-4.7095028321564314e-07,-1.0,0.07500457763671875,1.0,100.0,100.0,1.0,99.98450677188828,0.005247987346876926,1.0,99.9816665649414,0.0,0.0,314750000,174.47981770833576,100.0,18.9000244140625,1.0,100.0,0.8499400019645691,0.8497999906539917,-0.0010533332824707031,409787,1.2399978637695312,6.789700031280518,6.78980016708374,6.789700031280518,99.99500274658203
2020-10-09,0.0,99.96999867757161,-0.013333638509124057,99.98333294401446,-0.0066658616556480865,-1.0,-0.05500030517578125,-1.0,0.0,-100.0,-1.0,99.96967199506093,-0.014834776827342466,-1.0,99.95166778564453,-0.029998779296875,-1.0,324050000,106.45638020833212,100.0,16.300048828125,1.0,100.0,0.8498299717903137,0.8498340249061584,0.0005099972089132043,331703,-0.5900001525878906,6.7891998291015625,6.789700031280518,6.7891998291015625,99.94000244140625
2020-10-14,100.0,99.9796651204427,0.009999593098953596,99.98446805744962,0.007765971275205175,1.0,0.01000213623046875,1.0,100.0,0.0,0.0,99.96601296372395,0.004492755198583609,1.0,99.95999908447266,0.01166534423828125,1.0,370800000,65.89713541666424,0.0,-32.2000732421875,-1.0,100.0,0.8514999747276306,0.8516299724578857,0.0005566676457722242,328295,0.8400001525878906,6.745500087738037,6.746399879455566,6.745500087738037,99.9749984741211
2020-10-16,0.0,99.98333231608073,-0.00966644287109375,99.9764292305028,-0.013216141130286019,-1.0,-0.01999664306640625,-1.0,0.0,0.0,0.0,99.94767337775754,-0.011335162999841941,-1.0,99.94833374023438,-0.013331095377608904,-1.0,356140000,-64.74283854166424,100.0,1.199951171875,1.0,0.0,0.8542799949645996,0.8541799783706665,0.0026133259137471887,96488,-0.07999801635742188,6.723899841308594,6.724599838256836,6.723899841308594,99.92500305175781
2020-10-19,0.0,99.95333353678386,-0.029998779296875,99.95428737437166,-0.02214185613114239,-1.0,-0.035003662109375,-1.0,0.0,0.0,0.0,99.92844871505451,-0.019224662703024364,-1.0,99.92000071207683,-0.028333028157547346,-1.0,358700000,-32.58333333333576,100.0,8.800048828125,1.0,100.0,0.8535599708557129,0.8535699844360352,0.0006866653760274621,75335,-0.049999237060546875,6.696599960327148,6.702400207519531,6.696599960327148,99.88999938964844
2020-10-20,0.0,99.9023666381836,-0.050966898600265154,99.91855801764751,-0.03572935672414701,-1.0,-0.04290008544921875,-1.0,0.0,0.0,0.0,99.90133224476943,-0.027116470285079686,-1.0,99.88736724853516,-0.032633463541671404,-1.0,350220000,-25.85026041666424,0.0,-6.0,-1.0,100.0,0.8497599959373474,0.8496999740600586,-0.0004933277765910571,360574,0.6299972534179688,6.680699825286865,6.692200183868408,6.680699825286865,99.84709930419922
2020-10-21,0.0,99.8656997680664,-0.0366668701171875,99.8923707910619,-0.026187226585619783,-1.0,-0.022796630859375,-1.0,0.0,0.0,0.0,99.87565572095957,-0.02567652380986374,-1.0,99.85380045572917,-0.033566792805984846,-1.0,299420000,-100.02018229166788,100.0,12.2999267578125,1.0,100.0,0.8453599810600281,0.8453199863433838,-0.002973337968190437,366899,-1.4300003051757812,6.67519998550415,6.6757001876831055,6.67519998550415,99.82430267333984
2020-10-22,0.0,99.8223648071289,-0.0433349609375,99.85491345380689,-0.037457337255005996,-1.0,-0.07430267333984375,-1.0,0.0,0.0,0.0,99.83377048063973,-0.041885240319842865,-1.0,99.80713399251302,-0.04666646321615531,-1.0,330320000,-145.376953125,100.0,10.7000732421875,1.0,0.0,0.8437899947166443,0.8435999751091003,-0.003256658713022942,307494,0.6100006103515625,6.650000095367432,6.687600135803223,6.650000095367432,99.75
